var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
"spbeta[4,2]",0.818303412,0.369418756,0.107476744,0.578906875,0.815787105,1.057473603,1.565327208,1.000822057,3000
"spbeta[5,1]",0.073428958,0.116551138,-0.147089238,-0.000338134,0.065639432,0.142475646,0.318680575,1.001584279,1800
"spbeta[5,2]",-0.521165015,0.28454479,-1.108501497,-0.697115099,-0.5115821,-0.333022961,-0.000297573,1.003064585,3000
"spbeta[6,1]",0.178898829,0.250680848,-0.260909367,0.011352623,0.147880586,0.33274987,0.748038443,1.001464364,2100
"spbeta[6,2]",0.462287582,0.491779475,-0.478925635,0.135078252,0.454112058,0.769938849,1.489204826,1.00358345,650
"spbeta[7,1]",-0.047472175,0.306890281,-0.710666447,-0.206231135,-0.033883745,0.118718437,0.54102108,1.00152548,1900
"spbeta[7,2]",1.078887806,0.605885196,0.014333301,0.651828566,1.024364512,1.472149861,2.385848904,1.001575343,2300
"spbeta[8,1]",-0.097508729,0.171472398,-0.460222761,-0.197394701,-0.087478355,0.011605015,0.222448487,1.000525301,3000
"spbeta[8,2]",-0.618590429,0.328147152,-1.295963038,-0.828725653,-0.607065545,-0.398665852,0.008264136,1.000572724,3000
"spbeta[9,1]",-0.255943738,0.22571047,-0.76066059,-0.386512874,-0.233196106,-0.097703108,0.117922959,1.000610022,3000
"spbeta[9,2]",1.068948495,0.430191435,0.278233683,0.783162999,1.049687874,1.345143577,1.942277329,1.001833921,1500
Z[1],0.153666667,0.360689046,0,0,0,0,1,1.001310245,2500
Z[10],0.307333333,0.461465642,0,0,0,1,1,1.000730808,3000
Z[100],1,0,1,1,1,1,1,1,1
Z[101],0.003,0.054699153,0,0,0,0,0,1.000497878,3000
Z[102],0.008,0.089099081,0,0,0,0,0,1.002134892,3000
Z[103],0.015666667,0.124202916,0,0,0,0,0,1.002524456,3000
Z[104],0.002,0.044684064,0,0,0,0,0,1.13412282,1500
Z[105],0.012333333,0.110386974,0,0,0,0,0,1.002110671,3000
Z[106],1,0,1,1,1,1,1,1,1
Z[107],1,0,1,1,1,1,1,1,1
Z[108],1,0,1,1,1,1,1,1,1
Z[109],0.015333333,0.122895308,0,0,0,0,0,1.0147386,2100
Z[11],1,0,1,1,1,1,1,1,1
Z[110],0.023333333,0.150985058,0,0,0,0,0,1.002803648,3000
Z[111],0.002,0.044684064,0,0,0,0,0,1.038885366,3000
Z[112],1,0,1,1,1,1,1,1,1
Z[113],1,0,1,1,1,1,1,1,1
Z[114],0.013333333,0.114716791,0,0,0,0,0,1.007424184,3000
Z[115],0.001,0.03161223,0,0,0,0,0,1.292017884,1000
Z[116],1,0,1,1,1,1,1,1,1
Z[117],1,0,1,1,1,1,1,1,1
Z[118],1,0,1,1,1,1,1,1,1
Z[119],0.010333333,0.101143292,0,0,0,0,0,1.015602896,3000
Z[12],0.565333333,0.495795818,0,0,1,1,1,1.001269953,2600
Z[120],0.004666667,0.068164783,0,0,0,0,0,1.045150618,2200
Z[121],1,0,1,1,1,1,1,1,1
Z[122],0.003,0.054699153,0,0,0,0,0,1.051176118,3000
Z[123],0,0,0,0,0,0,0,1,1
Z[124],1,0,1,1,1,1,1,1,1
